file_name,index,label
RbHgBr3.cif,0,-1.095521064
HgBeF3.cif,1,-2.038262656
LiZnCl3.cif,2,-1.293698706
FeBeI3.cif,3,0.50302149
SrAgCl3.cif,4,-1.507863046
NaHgF3.cif,5,-1.965197994
TiLiBr3.cif,6,-0.703158682
AuMnF3.cif,7,-1.670809652
TlBaBr3.cif,8,-1.666347842
CdCuBr3.cif,9,-0.356045768
PtCuBr3.cif,10,0.437293622
K_FeF3.cif,11,-2.510566946
SrLiBr3.cif,12,-1.89306094
K_PtBr3.cif,13,-0.95079673
HgZnCl3.cif,14,-0.704799908
InMgBr3.cif,15,-1.25721865
TlCaF3.cif,16,-3.240885076
InCrBr3.cif,17,-0.786731048
CuFeCl3.cif,18,-0.303928094
AuPtCl3.cif,19,-0.025417372
CuCrCl3.cif,20,-0.523474344
RbSrBr3.cif,21,-2.138953194
AgFeF3.cif,22,-1.697071276
K_SnF3.cif,23,-2.61508162
RbPdF3.cif,24,-2.09106492
RbV_Cl3.cif,25,-1.644245528
K_SnCl3.cif,26,-1.55986544
NaMgI3.cif,27,-1.060553058
NaMnF3.cif,28,-2.677947716
K_PbF3.cif,29,-2.640725192
RbTiCl3.cif,30,-1.82262431
PtLiF3.cif,31,-1.384593778
RbBaBr3.cif,32,-2.120171328
HgPtBr3.cif,33,-0.178194566
RbBaI3.cif,34,-1.68015424
SrAgF3.cif,35,-2.396882782
RbCaBr3.cif,36,-2.12537659
CsFeBr3.cif,37,-1.10962896
K_BaCl3.cif,38,-2.352656256
NaNiI3.cif,39,-0.492411272
SrLiCl3.cif,40,-2.270040508
NaV_F3.cif,41,-2.751693346
LiBeBr3.cif,42,-0.91843868
K_CuI3.cif,43,-0.682256892
InCaF3.cif,44,-3.142793844
AgSnI3.cif,45,-0.04547113
LiCrBr3.cif,46,-0.961667458
LiFeF3.cif,47,-2.279555092
SnCuBr3.cif,48,-0.447735648
BaHgCl3.cif,49,-1.431103422
AuCaCl3.cif,50,-1.181712512
TlSrI3.cif,51,-1.231492552
RbSnI3.cif,52,-0.986412104
SnLiI3.cif,53,-0.49802957
NaCuCl3.cif,54,-1.178240852
NaZnCl3.cif,55,-1.443079932
AgCrF3.cif,56,-1.932070812
RbCdF3.cif,57,-2.636486404
TlCuCl3.cif,58,-0.897647874
K_FeCl3.cif,59,-1.370844036
RbCaF3.cif,60,-3.680009616
AuHgI3.cif,61,0.425745878
HgNiBr3.cif,62,-0.227553152
TlMnBr3.cif,63,-0.93259933
PtLiCl3.cif,64,-0.168256466
PbNaBr3.cif,65,-0.969632344
HgCoF3.cif,66,-1.45088916
K_BeCl3.cif,67,-1.559579282
HgCrI3.cif,68,-0.125946844
AgV_F3.cif,69,-2.086166916
K_V_F3.cif,70,-2.852741768
K_PdF3.cif,71,-2.083474218
LiNiF3.cif,72,-2.143334838
BaCuI3.cif,73,-1.032984348
TlHgCl3.cif,74,-0.86003552
AuCoF3.cif,75,-1.207427626
CaLiI3.cif,76,-1.137367946
CdLiI3.cif,77,-0.32395322
K_SrCl3.cif,78,-2.401078396
TlNiBr3.cif,79,-0.625161926
HgZnI3.cif,80,-0.104645926
V_LiF3.cif,81,-2.324741862
LiCuF3.cif,82,-2.110008602
AgFeCl3.cif,83,-0.530225934
RbBeI3.cif,84,-0.726887462
NaFeCl3.cif,85,-1.234131516
